Tweet,Class
"@naafas1 @monojit56546672 @ChaoticNormalcy @FinancialTimes “When there’s a need”, and mixing with men, rate of sexu… https://t.co/BUP9MF2ffT",Sexual Harassment
"@Lusty_Lamb The issue with it being ""part of the community"" is so that it still DEEPLY relies on consent. Even if s… https://t.co/McaSnHEmD3",Sexual Harassment
"Luau Party partying hard at 10 on January 18th! Females, welcome. Guys, don’t even bother coming.   Alpha Xi Delta… https://t.co/hg38uY3cMc",Sexual Harassment
"It’s so funny seeing Tommy, in my sexual harassment training, videos lol",Sexual Harassment
Yeah I’m not getting that new call of duty. Activision’s response to their sexual harassment/discrimination lawsuit… https://t.co/VK8OMhtb0p,Sexual Harassment
CNN's Chris Cuomo Addresses Brother Andrew's Resignation Amid Sexual Harassment Accusations https://t.co/N3dRAmj8Lc,Sexual Harassment
"@DougCameron51 @BeattieNgiare I think Morrison only gets told things his advisers think he wants to hear. 
So they… https://t.co/1Wtovsk9pc",Sexual Harassment
"The Last Madame on Netflix is a decrntly good time pass watch, first Singaporean show I saw. 

Lots of sexual haras… https://t.co/QLcHOkTfv4",Sexual Harassment
"🌅 #GodMorningTuesday
STOP WATCHING MOVIES!
Movies are the instigators of sexual harassment.

""Kindly Visit  SANT RA… https://t.co/B749yJ407y",Sexual Harassment
@SalazarTraining I guess your servers never came back. Is this a SafeSport emotional and sexual harassment issue?,Sexual Harassment
"@DaikonSendu ☆ Ina
☆ 15 turning 16 :3
☆ Indonesia
☆ USSS, Mafumafu, Amatsuki
☆ Spiders, sexual harassment, self har… https://t.co/2Pyq4HSNPG",Sexual Harassment
"@TJBV12 @IGN Ubisoft literally does nothing regarding harassment (sexual as well), assaults and stuff like that in… https://t.co/J9GpD8b4cs",Sexual Harassment
5 Things to Know About the Cuomo Sexual Harassment Findings https://t.co/xwqVnilfL4,Sexual Harassment
liberal feminists are putting their performative outrage at the increasing rates of sexual harassment in the us mil… https://t.co/Pm86mTSRgh,Sexual Harassment
@naylightyear reported for sexual harassment,Sexual Harassment
Listening to survivors of sexual assault &amp; harassment is vital to ensure justice. But problems with how victim impa… https://t.co/6sAdp0jfoC,Sexual Harassment
"//tw sexual harassment 

did you got the message about her?",Sexual Harassment
@moralpanicc OMG? dang i didnt know this existed but ronnie radke has several sexual harassment allegations 💀 and i… https://t.co/QF5LrZjKN7,Sexual Harassment
👉Merely having a POSH policy is not enough. Making your team aware of all the nuances of POSH and what to do in cas… https://t.co/d66uOd6ZHq,Sexual Harassment
Ubisoft Singapore Under Investigation For Alleged Sexual Harassment &amp; Workplace Discrimination https://t.co/V3vTi6mj08,Sexual Harassment
So a white man just DM me his penis on Instagram.. Can I sue for sexual harassment?!,Sexual Harassment
"🌅 #GodMorningTuesday
STOP WATCHING MOVIES!
Movies are the instigators of sexual harassment.

""Kindly Visit  SANT RA… https://t.co/veGIqNxRta",Sexual Harassment
"Violence against girls includes sexual violence, child marriage, sexual harassment, female genital mutilation, inti… https://t.co/3KYuRe80vf",Sexual Harassment
@Reuters Biden couldn't protect his own people in his own country from daily massacre rape and women sexual harassm… https://t.co/uH648TVk0A,Sexual Harassment
there is like 1 chance out of million case the victim of sexual harassment get to fight back the harasser and when… https://t.co/xmjgjFFjFt,Sexual Harassment
[Watch] This parent says she insists that young girls at the school keep their hemlines where they want to and shou… https://t.co/QW2IBijVbN,Sexual Harassment
The woman whose complaint sparked a sexual harassment investigation into Tasmania’s former Labor leader says she fe… https://t.co/Yw8UBq3B3p,Sexual Harassment
"🌅 #GodMorningTuesday
STOP WATCHING MOVIES!
Movies are the instigators of sexual harassment.

""Kindly Visit  SANT RA… https://t.co/BAsDqCwLFD",Sexual Harassment
"#SunStarBusiness Gov. Andrew Cuomo announced his resignation Tuesday, Aug. 10, 2021, over a barrage of sexual haras… https://t.co/9iTz9eIuPS",Sexual Harassment
"#SunStarBusiness Gov. Andrew Cuomo announced his resignation Tuesday, Aug. 10, 2021, over a barrage of sexual haras… https://t.co/iFNR1SbyQ9",Sexual Harassment
@LiveLawIndia Like why was a SC staffer &amp; her 11 numbers placed under surveillance for complaining of sexual harass… https://t.co/2mqweQsVGb,Sexual Harassment
kasus ham n dianalisis what if i wrote about sexual harassment hereeeeeee but i tak pandai cakap la,Sexual Harassment
"🌅 #GodMorningTuesday
STOP WATCHING MOVIES!
Movies are the instigators of sexual harassment.

""Kindly Visit  SANT RA… https://t.co/PsTv0kQysC",Sexual Harassment
"🌅 #GodMorningTuesday
STOP WATCHING MOVIES!
Movies are the instigators of sexual harassment.

""Kindly Visit  SANT RA… https://t.co/87AjsYtbhp",Sexual Harassment
Lmaoooo this ain’t sexual harassment ? https://t.co/zUfIta97E6,Sexual Harassment
"🌅 #GodMorningTuesday
STOP WATCHING MOVIES!
Movies are the instigators of sexual harassment.

""Kindly Visit  SANT RA… https://t.co/HUwyHFUG4R",Sexual Harassment
Call Me Childish Idccc 😭 But If A Nigga Ion Like Flirts With Me Or Call Me Babe I Take That As Sexual Harassment💯😂👎🏿,Sexual Harassment
Prince Andrew scandal prompts Royal Family to consider review of military titles instead of their Sexual Harassment… https://t.co/07F56Ot249,Sexual Harassment
He was too late to bring #StrandedAussies home.                           He was too late to save Australia from TW… https://t.co/zZDRclNiwb,Sexual Harassment
"Again, stay TF away from under 23 girls. No go dey say she mature, anything wey you see, you go collect. Many of th… https://t.co/NdX0wHdKqZ",Sexual Harassment
Nothing justifies sexual harassment bro... https://t.co/yQiUrXw5Fe,Sexual Harassment
Following an investigation that found allegations of sexual harassment and workplace discrimination at the Singapor… https://t.co/VGXDvsI41D,Sexual Harassment
anti sexual harassment https://t.co/xdknhDl74G,Sexual Harassment
"just saying yall

Sexual harassment is STILL sexual harasment no matter who does it and to whom

Even women can be… https://t.co/CQSdhELdXp",Sexual Harassment
"i think she’s suing for emotional distress, witness intimidation, and harassment. also, people could’ve been threat… https://t.co/CAMopGjUkR",Sexual Harassment
This not sexual harassment? Lol https://t.co/XYWinvLbIo,Sexual Harassment
"🌅 #GodMorningTuesday
STOP WATCHING MOVIES!
Movies are the instigators of sexual harassment.

""Kindly Visit  SANT RA… https://t.co/NWgLbOfUOC",Sexual Harassment
"Inceldom, femicide, familicide, domestic violence, maternal mortality, workplace/sexual harassment, rape, unequal p… https://t.co/WjZI6bZ1hG",Sexual Harassment
"These sexual harassment trainings, be the worse",Sexual Harassment
@Lord_VoldeMaut @BISHTISM @Suhelseth @seth_suhel is sexual harassment accused by a woman the age of Malala.. maybe that’s why the hate,Sexual Harassment
". @Ubisoft reportedly investigated by @TAFEPSG for sexual harassment and #discrimination claims

#diversity #HR #PR… https://t.co/Ez7HbpR9IB",Sexual Harassment
"Ubisoft Singapore under investigation by fair employment watchdog over allegations of sexual harassment, discrimina… https://t.co/M26MZwoXoo",Sexual Harassment
@pcgamer They should slow down the sexual harassment,Sexual Harassment
"CNN’s Chris Cuomo Attacks Critics, Admits He Urged Brother Andrew Cuomo To Resign As NY Governor Over Sexual Harass… https://t.co/qTDmypVYkK",Sexual Harassment
"tw // sexual harassment

WONG EDAN https://t.co/0avVXYhHvs",Sexual Harassment
"Ubisoft Singapore under investigation by fair employment watchdog over allegations of sexual harassment, discrimina… https://t.co/5rI7bozl75",Sexual Harassment
"tw // sexual harassment

this is what the ""did you got the message about her?"" tweets are about! https://t.co/66WCs181Xg",Sexual Harassment
Nicki Minaj Accused Of ‘Intimidating’ Kenneth Petty Sexual Assault Victim In New Lawsuit https://t.co/rqpOVNLFzY via @HollywoodLife,Sexual Harassment
The Singapore office of video game developer Ubisoft is under investigation by the country’s national fair employme… https://t.co/j5v5KSVk1o,Sexual Harassment
"🌅 #GodMorningTuesday
STOP WATCHING MOVIES!
Movies are the instigators of sexual harassment.

""Kindly Visit  SANT RA… https://t.co/LgDMVQDVOR",Sexual Harassment
A post about client sexual harassment https://t.co/X0E0HnuSJF,Sexual Harassment
Following a Kotaku investigation of the French video game giant's Singaporean outpost https://t.co/3jNzHUVk7J,Sexual Harassment
"@OgbeniDipo Many of these kids do not know anything about the law. They cannot differentiate between libel, defamat… https://t.co/X9Y95OYQKn",Cyberstalking
It does not make sense. There are no activists supporting Ms Akhtar's malevolence. Since 2.5 years Ms Akhtar alread… https://t.co/8DVxqgGqGz,Cyberstalking
@heatherhasideas It protects them if they get flagged for cyberstalking.,Cyberstalking
gonna start cyberstalking people to find out what their home town is so every time they state an opinion i can go l… https://t.co/JZq6iRXa1L,Cyberstalking
if you're still cyberstalking me I hope you know what you did deeply affected me. You're a bad person. (This isn't… https://t.co/UZwE1YIyRc,Cyberstalking
"I hereby REPORT this woman for abusing my gadget letter, cyberstalking, discrimination and network corruption. Clic… https://t.co/vx4FragQtw",Cyberstalking
"Cyberstalking is a crime punishable with an imprisonment which may extend upto 3 years and fine.

This post is pure… https://t.co/le9NsRuB3j",Cyberstalking
"@rkyncl I've been the victim of harassment, hate speech, cyberbullying, &amp; cyberstalking on youtube that has gone on… https://t.co/y3V4oNqhpu",Cyberstalking
"This the ""French"" version of the above tweet. It does not make any sense for French people. When you have a legal i… https://t.co/Pb2k9YOzQm",Cyberstalking
I want you to do your job and investigate why my life is STILL being ruined by harassment and cyberstalking,Cyberstalking
say when everyone is ip stalking me and cyberstalking anf eeding in my games right i just go to find ppl who went t… https://t.co/mkBjSsphh3,Cyberstalking
@woacbofficial I wonder how a judge will see this? I mean he got a 2 year HRO for harassment/cyberstalking. When th… https://t.co/x4y7AMjvas,Cyberstalking
"@Aushiker Please stop.

I have no wish to engage with an angry Incel like you.

I have reported your account for ta… https://t.co/CjwjT3hMC9",Cyberstalking
@munchinbamboo @PickBattles Rick also sued the stat of Washington claiming that cyberstalking was his constitutiona… https://t.co/dUZPLiMwn6,Cyberstalking
@sapnapscameltoe and then the “racist comments” in questions are him making a poor taste joke or something. i’ve se… https://t.co/kgRY8HicUJ,Cyberstalking
"Having a job sucks, I miss cyberstalking former That Guy With The Glasses content creators for 12 hours a day",Cyberstalking
"Man gets 12 years in cyberstalking, child pornography case - https://t.co/J8HzAPyRXl https://t.co/fkH3heJoGb… https://t.co/2cBMH1ERh4",Cyberstalking
#Barbz @NickiMinaj is not going to prison for you! She gone blame it on you! Cyberstalking is a criminal offense un… https://t.co/8cpQpsG1u5,Cyberstalking
#StopInhumanityStopCybercrimes #cyberstalking @indiannavy @sanjeevthomas Attitude 109: VR touch transmission is a v… https://t.co/th6e302p2u,Cyberstalking
#StopInhumanityStopCybercrimes #cyberstalking @vikramsarath @sanjeevthomas @InformaPLC Attitude 108: Vulnerable vic… https://t.co/JKf7j51Yf8,Cyberstalking
#StopInhumanityStopCybercrimes #cyberstalking @JustinWelby @vikramsarath @sanjeevthomas Attitude 107: Chastise is s… https://t.co/lKJbTJbOyF,Cyberstalking
"If you don't know what that is, Kiwifarms is a website where people talk about people they dont like. Then basicall… https://t.co/ZCqDrwbMIt",Cyberstalking
"@jamesfactora i find that i am often dehumanized to a point where i am merely a target of projection, so people do… https://t.co/3DIb54ouhQ",Cyberstalking
Hey Tracie @equalityfromgov why can't you stop cyberstalking? https://t.co/ekcp31ILu0,Cyberstalking
https://t.co/hnfeqA4oAX police file number 20225064 sane as one charged in Tyler Delane cyberstalking abuse no news… https://t.co/NUSNEgoZpe,Cyberstalking
Police case number 20225064 Tyler Delane had same abuse from the CyberStalking abuse he had for three years and the… https://t.co/wt2ApvIcwK,Cyberstalking
@gina_scooter tumblr's lasting contribution to the internet will be normalizing cyberstalking and anon chan culture… https://t.co/qZm7aXXrme,Cyberstalking
"I don't know who needs to hear this, but no tech support agent needs to hear that your inability to either understa… https://t.co/hxrxZedcIz",Cyberstalking
@amalia_grayson Former friend thinking I cyberstalking him when I live far away from him,Cyberstalking
"*Persistently Gaslighting/Gangstalking people. 
*Falsely labelling people as mentally ill. 
*Cyberstalking people o… https://t.co/x1NTgPmnZB",Cyberstalking
"Should all off-campus crimes that impact a students' education, including but not limited to, sexual assault, cyber… https://t.co/EAIj8cGUgm",Cyberstalking
@LovelyLiberals @HillaryClinton @malcolmkenyatta And it sounds like you are absolutely a victim of cyberstalking!,Cyberstalking
@LovelyLiberals @HillaryClinton @malcolmkenyatta Some jerk is STILL messing with you after two years? If that’s wha… https://t.co/bw5E3ZLg9K,Cyberstalking
@Joey_Pega Bruh how could they??? They spend all their time fuckin cyberstalking someone who doesn’t even know they exist. Beyond pathetic,Cyberstalking
"@HappyGu92658735 @BucknersLegs @Jen_Royle Nah, just wondering why you're cyberstalking?",Cyberstalking
Nashville Lawyer Terrorized Her Ex With Insane Cross-Country Stalking Campaign: FBI https://t.co/0fDdQZkv27 via @thedailybeast,Cyberstalking
@TheNostalgicCo @gingerbrigade1 Or she reports you for cyberstalking because internet obsession is real and scary as fuck,Cyberstalking
"""Ah but see, it's a bunch of bad apples who merely *interpreted* what they *thought* to be the wish of the CEO"" https://t.co/c0ZXgJn5Wn",Cyberstalking
"why am I unblocked ? 
on multiple account(s) that you have messaged on before. If I’m cyberstalking you",Cyberstalking
My cyberstalking skills are unmatched 💯💯💯,Cyberstalking
Great resource for victims of cyberstalking —-&gt; Internet Crime Complaint Center(IC3) | Home Page https://t.co/PJ8rdW9qWT,Cyberstalking
@biigcel It was just that serious . Stop calling you having the same @ name as IG cyberstalking,Cyberstalking
"(deranged tweet) (crack) 

Crypt0, cyberstalking Nik: what got gibraltar hung up over this aging twink –

Search re… https://t.co/VYlwdHQUbQ",Cyberstalking
@kaeyabrainworms Yes it’s the amogus imposter 😣😣 he’s cyberstalking me,Cyberstalking
@LeenzaCat if it was something long ago. and I clearly am not the same person. no LMAO. they'd have to be cyberstal… https://t.co/TrgaO5vRtQ,Cyberstalking
@brat2381 I love this cyberstalking free bird app,Cyberstalking
@tpwk47 @pjb438 @craigsfire @CeeGeeThree2 @AbogadoJDL @Frog_O_War @MaxNordau @CLR78253 @BadLegalTakes I’m talking a… https://t.co/ZJDODYPYaF,Cyberstalking
"Bringing this back, and leaving this form here to report Kiwifarms for cyberstalking and doxing.… https://t.co/OK4JJwfn08",Cyberstalking
ALL OF A SUDDEN SINCE JULY AUGUST NOW THEY HAVE BEEN FAMILY MICROSOFT CYBERSTALKING HAS BEEN PUMMELING ME WITHOUT M… https://t.co/EwjFLD7vC0,Cyberstalking
@comradecamgirl yeah there’s a big difference between using social media to make ppl aware of why casting him isn’t… https://t.co/xp6fRBP2ps,Cyberstalking
https://t.co/qP9YbxYtBG Remember her?,Cyberstalking
"@ShiraishiEna you shouldnt even have to have her cyberstalking you ena, its not morally ok",Cyberstalking
Nashville Lawyer Terrorized Her Ex With Insane Cross-Country Stalking Campaign: FBI https://t.co/3dUhZyyn5Y via @thedailybeast,Cyberstalking
I won't lie and say that the response has been all good. I know I've been talked about a LOT in various Discords an… https://t.co/LXHmIDJH4q,Cyberstalking
"If you think avoiding me, not talking to me, and isolating me, illegally cyberstalking me and harassing me is a gre… https://t.co/8fL5znW4hN",Cyberstalking
@FearfulPanda15 THAT'S EVEN WORSE!!! THAT'S LITERALLY HARASSMENT AND CYBERSTALKING!!! Who is this person passing my… https://t.co/wVhIwC4Vti,Cyberstalking
Read this article on former eBay employee sentenced to federal prison for harassing a couple who dared criticize eB… https://t.co/mQMGDTq0vU,Cyberstalking
"How to tell if you're being stalked online on Instagram, Facebook and WhatsApp https://t.co/AGPBCQMmip",Cyberstalking
@FullmetalTheist You mean Cyberstalking? I doubt the government would do anything,Cyberstalking
"When you see a @MDSP Trooper in your rear view mirror and start to sweat, just remember, there’s a child predator o… https://t.co/fcLCqOiHF4",Cyberstalking
Cyberstalking is when someone misuses the internet &amp; other technology to stalk &amp; harass someone. Stalker will conta… https://t.co/gKB8OYJ33p,Cyberstalking
hoy bakit ganun sa tiktok? bakit nila ineexpose yung address ni deanna? I hope u guys are aware na this may fall un… https://t.co/j9lgXnpffo,Cyberstalking
#cybersecurity #crimestoppers case file number 20225064 and Tyler Delane had same cyberstalking abuse same people i… https://t.co/5gp0OluMYZ,Cyberstalking
"#CyberTerrorism Awareness PSA by Michael Nuccitelli, Psy.D. #iPredator NYC – Educational #Cyberpsychology… https://t.co/CnstvEZdUI",Cyberstalking
"#CyberTerrorism Awareness PSA by Michael Nuccitelli, Psy.D. #iPredator NYC – Educational #Cyberpsychology… https://t.co/waKrrBKsbO",Cyberstalking
"REASON FOUR:
This one isnt actually a reason i dont think but. Y'know. I dont actually know how that tweet was foun… https://t.co/mQ5UD5dKWT",Cyberstalking
"omarosa moon thinks i shouldnt talk about kjp anymore,
ok...
ill stop talking about the people who dox, attack, and… https://t.co/TMPoKvzPoC",Cyberstalking
"This woman is a piece of work. AKA a whack job.

DeSantis’ press secretary enters criminal plea deal for cyberstalk… https://t.co/MG4cqVvRZv",Cyberstalking
DeSantis’ press secretary enters criminal plea deal for cyberstalking whistleblower via @OccupyDemocrats https://t.co/A71ySNY61b,Cyberstalking
"Anyway, leave authors alone and if you admit to cyberstalking them it certainly doesn't make them look bad, it make… https://t.co/qqOFwPqTEy",Cyberstalking
"One would say I'm a ""struggling creator"" because Kelly and the girls are going around cyberstalking and maliciously… https://t.co/XQ8TV58p5Y",Cyberstalking
"Have to wonder if #socialmedia providers like Facebook have grown so big &amp; powerful, &amp; preoccupied with making mone… https://t.co/uu2E1wFLk8",Cyberstalking
"@C_197HERETIC @DHTDillinThomas So wait, your pretty much using Chris' images and comics for your own gain, but when… https://t.co/l6twWSiYJo",Cyberstalking
"ICYMI: UK man arrested in connection with massive Twitter hack, alleged cyberstalking

https://t.co/XiYSg4Ta4b https://t.co/T0h1BFSE9b",Cyberstalking
It WILL be us in the end; NOT your ex-wife or current plaything/s or psycho obsessed cyberstalking fangirl/s. @ Sio… https://t.co/UJa7SwARJn,Cyberstalking
"@jmasseypoet @Brianhipp @charlescwcooke I don’t want anything to do with her, but you’re right, people shouldn’t be… https://t.co/xV1SJM12YS",Cyberstalking
@HelenaGFiorenza @DHTDillinThomas @ItsAllSoUgly At least we did not participate in cyberstalking,Cyberstalking
@DHTDillinThomas @ItsAllSoUgly Dillon you’re using Chris’s image in your comics and most of your vids are cyberstal… https://t.co/E9IPJmZ6Ys,Cyberstalking
"@realWallyB I already sent you the c&amp;d via dm. It's 100% real. I will send him this tweet too, cyberstalking is a c… https://t.co/rHzR2ElPyC",Cyberstalking
Seek out a therapist instead of cyberstalking,Cyberstalking
"//confirmed
Press secretary @ChristinaPushaw was accused of criminally violating a Maryland court order to cease co… https://t.co/nE0MVQBPh9",Cyberstalking
"Nah, I'm going to call the FBI and throw some folks in jail. Just like they were going to do to me with all that ""p… https://t.co/tPLjxjNEmb",Cyberstalking
"@4ntiTak3s Okay, but the thing is, though: you can't just ""close ur phone"" when people are cyberstalking you and sp… https://t.co/EoFIUhXKlT",Cyberstalking
"I wrote this back Bauer's cyberbullying in 2019: ""Because of his actions, the affair escalated from a rude exchange… https://t.co/aks6yDQtw3",Cyberstalking
@lubufra @likeluke Probably this: https://t.co/oTmhYaDUAW,Cyberstalking
"@SmallRedOne An obsessional user continue to fixate on me, after sending 100s of messages about me, clearly falling… https://t.co/KEaF1IjiBK",Cyberstalking
They've been shouting about ridiculous Anglia Ruskin University and how the occupants of No 25 and other ridiculous… https://t.co/KyWjCSCBUk,Cyberstalking
"Panel asks Home Ministry #India to add cyber porn, blackmail, stalking/bullying (particularly against women and chi… https://t.co/5OoWdR9K8r",Cyberstalking
DeSantis’ press secretary enters criminal plea deal for cyberstalking whistleblower via @OccupyDemocrats https://t.co/HL2upqY90y,Cyberstalking
Join YouTube live https://t.co/uhgiWwC90z to watch amazing women developer creating amazing solutions in tackling a… https://t.co/Bu9hWu1TAH,Cyberstalking
#StopInhumanityStopCybercrimes #cyberstalking @bishopSarahM @HonJulieBishop @DrCatherineBall @theresa_may Attitude… https://t.co/eMy0zYTCk6,Cyberstalking
The Women's Online Safety Hackathon is starting soon! I'll be one of the judges assessing the solutions the women a… https://t.co/R0kgmW58iI,Cyberstalking
"Anyways, all this cyberstalking shit is hurting my brain. I'm going to bed, way to damper my mental state.",Cyberstalking
"told about are):
REALITY World: Bullying / Stalking
VIRTUALITY World: Cyberbullying / Cyberstalking
REALITY World:… https://t.co/dZQ8PWqClB",Cyberstalking
"I'll just say, if you're reading this (and you know what you've tweeted), this is your final warning. Interact with… https://t.co/TcQdEWjfqp",Cyberstalking
NB I have no issue whatsoever with seahorse being anonymous. I’d be a hypocrite if I did. But her content is clearl… https://t.co/abQ5X6klLa,Cyberstalking
"I was on the receiving end of the 'mild' side of this subculture from a group of teenage podcasters/YouTubers 
I al… https://t.co/cqDQjrb9AV",Cyberstalking
"Either way, if it is cyberstalking, I'm going to start taking uncropped, unfiltered screenshots so that if I do mak… https://t.co/iF5cLjYa04",Cyberstalking
"@SusanWojcicki @WSJ Your company doesn't consider hate speech, harassment, cyberbullying, or cyberbullying importan… https://t.co/IJnUufKU3M",Cyberstalking
@KJette77 @organizedcarbon @Chocolate_Lurv He's a serial stalker who even sued the state of Washington claiming tha… https://t.co/zrfnLuX8p8,Cyberstalking
@KJette77 @organizedcarbon @Chocolate_Lurv He's a serial stalker who even sued the state of Washington claiming tha… https://t.co/zrfnLuX8p8,Cyberstalking
"@JulianP0324 Part of the game here is that Stern would accuse Pushaw of having ""criminal stalking charges"" or refer… https://t.co/EnjAgpaZim",Cyberstalking
@ilovecarson23 Just tell them to stop stalking you! Cyberstalking is a crime and if they don’t wanna go to jail they’ll stop!,Cyberstalking
#StopInhumanityStopCybercrimes #cyberstalking Attitude 105: Many get annoyed over a second wrong call even if we kn… https://t.co/O81dobxMge,Cyberstalking
@55_73_65_72 He cyberstalking me to bypass my block since I blocked him. How he found my account while I blocked hi… https://t.co/4UZ6IEy81Y,Cyberstalking
is this technically cyberstalking,Cyberstalking
@LoggieNightmare It *might* be a joke. Like a bad one. About to do some cyberstalking.,Cyberstalking
"Man gets 12 years in cyberstalking, child pornography case - https://t.co/J8HzAPyRXl https://t.co/fkH3heJoGb… https://t.co/YTCT9srzKE",Cyberstalking
"Just remembered how Cadwalladr called @BallouxFrancois misogynistic for making a dumb joke about a whale penis

Mea… https://t.co/ohFlyIjLSg",Cyberstalking
"How to tell if you're being stalked online on Instagram, Facebook and WhatsApp https://t.co/NZl0KNe4G9",Cyberstalking
"@ChrisSeay104 @grantstern @donwinslow There was literally a hearing today where she entered her plea.

https://t.co/ha4bME2El2",Cyberstalking
@CitizenPeper @APOSTLESULEMAN Impunity everywhere? The police boss that invited Balogun ought to be asked on what c… https://t.co/iD4eDyOFMY,Cyberstalking
"If you don’t like the way your fave is written in a fanfic on ao3, you should NOT read all 11 chapter of it, admit… https://t.co/LLG6yj2OZd",Cyberstalking
Woman claims internet gave her PTSD and it's as serious as war veterans https://t.co/Y9WsbyaLRn via @MailOnline 🤦🏻‍♂️,Cyberstalking
"NEXT https://t.co/80JRO7Xr0s
 #covertharassment #cyberstalking #dew #Gangstalking #mindcontrol… https://t.co/DK8kuskohx",Cyberstalking
I really am the type to watch 1 movie and be so fucking obsessed with a topic and all of a sudden I’m cyberstalking… https://t.co/es3pzNQECN,Cyberstalking
@jimstewartson Some weird symbiosis between Biss and Defango / Manny Chavez that a media outlet with deep pockets m… https://t.co/meVvPR9YYO,Cyberstalking
"@tweetytrump2020 @ChristinaPushaw @FLGOPMajority @FlaDems @GovRonDeSantis Really??

Rebekah has had 3 jobs and 3 ar… https://t.co/XWdeBWSQ3k",Cyberstalking
"@ChristinaPushaw How do you have time for both gaslighting and cyberstalking, traitor?",Cyberstalking
DeSantis’ press secretary enters criminal plea deal for cyberstalking whistleblower via @OccupyDemocrats https://t.co/R6Su5kBcrH,Cyberstalking
DeSantis’ press secretary enters criminal plea deal for cyberstalking whistleblower via @OccupyDemocrats https://t.co/bLcEV2vCVg,Cyberstalking
Interesting  https://t.co/8zpQNflkuU,Cyberstalking
@LifeWithoutLack Um...she's been fired and charged with criminal offenses from literally every job she ever held. H… https://t.co/IUJWruhZXs,Cyberstalking
Big story about the criminal charges against Florida Governor DeSantis' press secretary Christina Pushaw for cybers… https://t.co/PVGGd0xEYz,Cyberstalking
"How to tell if you're being stalked online on Instagram, Facebook and WhatsApp
https://t.co/lvuKHBvJTc",Cyberstalking
@juliemoon33 If you are so concerned about cyberstalking then why do you keep jumping onto free wifi? Use your own… https://t.co/rz7GywXnPu,Cyberstalking
DeSantis’ press secretary enters criminal plea deal for cyberstalking whistleblower @periclesukraine https://t.co/spuKuHAmT8,Cyberstalking
DeSantis’ press secretary enters criminal plea deal for cyberstalking whistleblower @periclesukraine https://t.co/0hmlaO2dqT,Cyberstalking
"DeSantis' press secretary’s criminal plea deal for cyberstalking whistleblower Rebekah Jones.
I’m not surprised bul… https://t.co/M2l56X3rEO",Cyberstalking
DeSantis’ press secretary enters criminal plea deal for cyberstalking whistleblower via @OccupyDemocrats https://t.co/W2uznkmdBT,Cyberstalking
DeSantis’ press secretary enters criminal plea deal for cyberstalking whistleblower https://t.co/5kcxzBXKCd,Cyberstalking
DeSantis’ press secretary enters criminal plea deal for cyberstalking whistleblower https://t.co/encg1u7ir4 https://t.co/CGuI89vnCv,Cyberstalking
"@Paulasmyth13 @RondaCosgrove @JRubinBlogger @NoGOPigs @YahooNews just to be very clear, I looked at her profile. Sh… https://t.co/RvxprGk8hU",Cyberstalking
@dgurdasani1 The issue here isnt Amy's credentials or anonymity.  It is Tom harassing her and cyberstalking. You're… https://t.co/o8JT42dYlm,Cyberstalking
@chuck_ferrer @LepapillonBlu Desantis assistant in a criminal plea deal today for cyberstalking Rebecah Jones.  Des… https://t.co/sJVhOZ02Z8,Cyberstalking
"Dawn wouldnt be allowed on twitter lolllll tween ass

Dabi would purposefully instigate discourse cyberstalking dox… https://t.co/UwZxbOVTlr",Cyberstalking
We have a feminist with 100k followers condoning &amp; amplifying cyberstalking of a sexual assault victim &amp; whistleblo… https://t.co/IxfCEjWpPF,Cyberstalking
@ntyravgdramaqun @dgurdasani1 I haven’t put out any advice about not following the law or any clinical advice. That… https://t.co/KkM1td1yGV,Cyberstalking
"#Freshman101:Under new Title IX roll backs, cyberstalking, sextortion, revenge porn, &amp; sexual assaults occurring of… https://t.co/TwzDcsiN4L",Cyberstalking
"@grantstern @MalcolmNance Item of interest:  Press secretary for Desantis, Christina Pushaw, stands accused of crim… https://t.co/qqlaWhXG7Q",Cyberstalking
@jennieuk @dgurdasani1 I haven’t offered any clinical advice. I’m anonymous because I’m a victim of sexual assault.… https://t.co/IEYtXaXPbL,Cyberstalking
@GovRonDeSantis Press secretary Christina Pushaw stands accused of criminally violating a Maryland court order to c… https://t.co/CKaC2kO4PD,Cyberstalking
"@hollisings2 .....""After she was charged with violating a temporarily restraining order for cyberstalking Rebekah J… https://t.co/98KhHzqs1h",Cyberstalking
"How to tell if you're being stalked online on Instagram, Facebook and WhatsApp https://t.co/aoHTSsUUxY",Cyberstalking
@OutbreakJake I’m really upset actually. I think my reasons for being anonymous are possibly some of the best reaso… https://t.co/l6vxhh0qCi,Cyberstalking
Personally I’d say that amplifying &amp; condoning the harassment &amp; cyberstalking of a woman who is anon because she wh… https://t.co/ZJDilTOZf1,Cyberstalking
@JRubinBlogger @NoGOPigs @YahooNews I read his assistant is facing criminal charges today for cyberstalking Rebecah Jones.,Cyberstalking
"I actually, genuinely, thought people were more decent than that. 

I thought even with disagreements about covid,… https://t.co/FFO8p1yKha",Cyberstalking
criminal charges against Florida Governor DeSantis' press secretary Christina Pushaw for cyberstalking whistleblowe… https://t.co/oGUxhsluK7,Cyberstalking
@GovRonDeSantis Ron Desantis spokesperson is reportedly making a deal with prosecutors in MD this morning to sign a… https://t.co/pr43KHvYYQ,Cyberstalking
@truthbirb @grantstern Besides Cyberstalking is a federal crime.,Cyberstalking
